Timestamps, kPa Matric Potential,soil_temperature_2cm, kPa Matric Potential,soil_temperature_5cm, kPa Matric Potential,soil_temperature_10cm, kPa Matric Potential,soil_temperature_20cm, kPa Matric Potential,soil_temperature_40cm, kPa Matric Potential,soil_temperature_80cm,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
05/08/2024 06:15:00 PM,-6319.7,19.8,-4093.5,19.7,-4934.0,19.7,-99999.0,19.1,-435.9,17.0,-810.0,14.8,85,7681,102.12,20.1
05/08/2024 06:30:00 PM,-5757.0,19.8,-3481.7,19.7,-4374.2,19.5,-99999.0,19.1,-344.6,17.0,-626.5,14.8,86,7687,102.12,21.4
05/08/2024 06:45:00 PM,-5061.7,20.2,-2973.7,19.8,-3901.2,19.5,-68327.5,18.9,-290.8,17.0,-515.9,14.8,86,7686,102.13,20.7
05/08/2024 07:00:00 PM,-4577.2,20.2,-2499.7,19.8,-3464.1,19.4,-16352.9,18.8,-254.9,17.0,-447.0,14.7,86,7688,102.14,19.6
05/08/2024 07:15:00 PM,-4100.1,19.9,-2106.2,19.6,-3075.4,19.4,-6853.2,18.7,-228.6,17.0,-396.7,14.7,86,7688,102.15,18.4
05/08/2024 07:30:00 PM,-3705.1,19.5,-1768.9,19.4,-2690.3,19.3,-3807.1,18.6,-209.6,17.0,-359.4,14.7,86,7687,102.15,17.8
05/08/2024 07:45:00 PM,-3351.2,19.3,-1485.2,19.2,-2308.3,19.2,-2492.3,18.5,-195.0,16.9,-332.3,14.6,86,7684,102.16,17.6
05/08/2024 08:00:00 PM,-3038.8,19.0,-1268.5,18.9,-1958.8,19.1,-1799.3,18.4,-182.9,16.9,-308.5,14.6,86,7688,102.16,17.6
05/08/2024 08:15:00 PM,-2746.6,18.7,-1094.7,18.6,-1651.6,19.0,-1391.5,18.3,-173.1,16.9,-289.4,14.6,86,7684,102.17,16.5
05/08/2024 08:30:00 PM,-2470.6,18.3,-962.0,18.3,-1409.3,18.9,-1123.3,18.3,-164.9,16.8,-272.8,14.6,86,7685,102.17,15.5
05/08/2024 08:45:00 PM,-2214.1,17.9,-858.6,18.0,-1236.8,18.7,-938.8,18.2,-157.4,16.8,-257.8,14.5,85,7682,102.18,14.7
05/08/2024 09:00:00 PM,-1997.1,17.5,-780.4,17.6,-1096.0,18.6,-808.2,18.1,-149.3,16.8,-245.0,14.5,85,7679,102.2,13.9
05/08/2024 09:15:00 PM,-1809.7,17.1,-713.5,17.2,-986.0,18.4,-710.2,18.1,-142.7,16.7,-233.7,14.5,85,7681,102.22,13.1
05/08/2024 09:30:00 PM,-1651.9,16.8,-662.2,16.8,-894.5,18.2,-637.8,18.0,-137.7,16.7,-223.1,14.5,85,7678,102.23,12.3
05/08/2024 09:45:00 PM,-1502.8,16.4,-614.5,16.5,-817.3,18.1,-578.1,17.9,-133.1,16.7,-214.3,14.4,85,7675,102.24,11.4
05/08/2024 10:00:00 PM,-1398.6,16.1,-576.2,16.1,-755.3,17.9,-532.3,17.8,-128.7,16.6,-205.9,14.4,85,7678,102.24,10.7
05/08/2024 10:15:00 PM,-1292.7,15.7,-542.1,15.8,-703.4,17.7,-495.1,17.8,-124.9,16.6,-198.2,14.4,85,7675,102.25,10.0
05/08/2024 10:30:00 PM,-1216.2,15.4,-512.6,15.6,-654.6,17.6,-461.1,17.7,-121.4,16.6,-191.4,14.4,85,7674,102.26,9.6
05/08/2024 10:45:00 PM,-1141.6,15.1,-487.7,15.3,-616.0,17.4,-432.8,17.6,-118.0,16.6,-184.9,14.4,85,7675,102.26,9.5
05/08/2024 11:00:00 PM,-1074.0,14.9,-468.2,15.1,-580.9,17.2,-405.8,17.6,-115.0,16.5,-178.9,14.3,85,7675,102.27,9.3
05/08/2024 11:15:00 PM,-1015.5,14.6,-448.4,14.8,-551.4,17.0,-383.5,17.5,-112.0,16.5,-174.0,14.3,85,7676,102.28,9.0
05/08/2024 11:30:00 PM,-963.8,14.3,-431.6,14.6,-523.7,16.8,-362.8,17.4,-109.3,16.5,-169.0,14.3,84,7672,102.28,8.7
05/08/2024 11:45:00 PM,-908.4,14.1,-416.2,14.4,-501.6,16.6,-346.5,17.3,-106.8,16.4,-164.5,14.3,84,7673,102.28,8.6
05/09/2024 12:00:00 AM,-867.6,13.9,-402.4,14.2,-482.2,16.5,-329.5,17.2,-104.4,16.4,-160.0,14.3,84,7671,102.3,8.5
05/09/2024 12:15:00 AM,-831.2,13.7,-388.6,14.0,-463.5,16.3,-314.8,17.1,-102.1,16.4,-156.3,14.3,81,7648,102.3,8.6
05/09/2024 12:30:00 AM,-796.3,13.5,-376.9,13.9,-447.8,16.2,-301.1,17.0,-100.1,16.3,-152.5,14.3,82,7655,102.31,8.5
05/09/2024 12:45:00 AM,-763.1,13.3,-365.1,13.7,-432.1,16.0,-288.1,16.9,-98.1,16.3,-148.8,14.2,83,7658,102.31,8.0
05/09/2024 01:00:00 AM,-727.4,13.2,-353.5,13.5,-418.6,15.9,-277.0,16.8,-96.1,16.3,-145.5,14.2,83,7658,102.31,7.6
05/09/2024 01:15:00 AM,-701.9,13.0,-344.0,13.3,-405.4,15.7,-267.4,16.7,-94.3,16.2,-142.3,14.2,82,7654,102.31,7.2
05/09/2024 01:30:00 AM,-680.8,12.8,-335.0,13.1,-394.5,15.6,-258.3,16.6,-92.7,16.2,-139.4,14.2,82,7656,102.29,7.0
05/09/2024 01:45:00 AM,-660.8,12.6,-325.3,12.9,-384.1,15.4,-249.7,16.6,-90.9,16.2,-136.7,14.2,82,7656,102.29,7.0
05/09/2024 02:00:00 AM,-641.1,12.4,-317.2,12.8,-372.5,15.3,-242.0,16.5,-89.4,16.1,-134.1,14.2,82,7655,102.3,7.0
05/09/2024 02:15:00 AM,-623.3,12.2,-309.7,12.6,-363.1,15.2,-234.3,16.4,-88.0,16.1,-131.4,14.2,82,7656,102.3,7.1
05/09/2024 02:30:00 AM,-608.3,12.1,-301.6,12.5,-353.3,15.0,-227.4,16.3,-86.5,16.1,-129.1,14.2,82,7656,102.29,7.1
05/09/2024 02:45:00 AM,-592.5,12.0,-294.9,12.4,-345.1,14.9,-220.6,16.2,-85.1,16.0,-126.8,14.2,82,7656,102.28,7.0
05/09/2024 03:00:00 AM,-576.6,11.8,-288.9,12.2,-337.5,14.8,-214.5,16.1,-83.8,16.0,-124.5,14.1,82,7654,102.28,6.8
05/09/2024 03:15:00 AM,-564.0,11.7,-282.3,12.0,-329.2,14.6,-208.9,16.0,-82.6,15.9,-122.5,14.1,82,7653,102.26,6.0
05/09/2024 03:30:00 AM,-551.6,11.6,-276.1,11.9,-322.0,14.5,-203.7,15.9,-81.4,15.9,-120.4,14.1,82,7655,102.26,5.5
05/09/2024 03:45:00 AM,-537.9,11.4,-270.6,11.8,-315.1,14.4,-199.1,15.8,-80.3,15.8,-118.5,14.1,82,7656,102.25,5.2
05/09/2024 04:00:00 AM,-528.3,11.3,-265.0,11.6,-308.3,14.3,-193.7,15.7,-79.2,15.8,-116.5,14.1,82,7655,102.24,4.9
05/09/2024 04:15:00 AM,-514.0,11.1,-259.7,11.5,-301.8,14.2,-189.4,15.6,-78.0,15.8,-114.8,14.1,82,7653,102.23,4.7
05/09/2024 04:30:00 AM,-504.9,11.0,-254.6,11.4,-295.5,14.0,-185.1,15.6,-76.9,15.7,-113.1,14.1,82,7653,102.23,4.5
05/09/2024 04:45:00 AM,-494.4,10.9,-250.1,11.2,-290.4,13.9,-180.8,15.5,-75.9,15.7,-111.6,14.1,82,7654,102.23,4.2
05/09/2024 05:00:00 AM,-485.4,10.8,-245.4,11.1,-285.0,13.8,-176.8,15.4,-74.9,15.6,-110.1,14.1,82,7650,102.23,4.1
05/09/2024 05:15:00 AM,-476.6,10.6,-241.0,11.0,-280.0,13.7,-173.2,15.3,-73.9,15.6,-108.5,14.1,82,7651,102.22,3.9
05/09/2024 05:30:00 AM,-467.5,10.5,-236.7,10.9,-274.9,13.6,-169.8,15.2,-72.9,15.6,-107.0,14.0,82,7650,102.21,3.7
05/09/2024 05:45:00 AM,-461.0,10.4,-233.3,10.8,-270.1,13.5,-166.5,15.2,-72.1,15.5,-105.5,14.0,82,7652,102.21,3.8
05/09/2024 06:00:00 AM,-453.3,10.3,-229.0,10.7,-265.0,13.4,-163.3,15.1,-71.1,15.5,-104.2,14.0,82,7653,102.21,4.1
05/09/2024 06:15:00 AM,-445.5,10.2,-225.2,10.7,-261.2,13.2,-160.0,15.0,-70.3,15.4,-102.7,14.0,82,7650,102.21,4.1
05/09/2024 06:30:00 AM,-437.6,10.2,-221.9,10.7,-256.8,13.2,-156.9,14.9,-69.5,15.4,-101.5,14.0,82,7653,102.2,4.2
05/09/2024 06:45:00 AM,-430.8,10.2,-219.0,10.8,-252.8,13.0,-154.2,14.8,-68.7,15.3,-100.1,14.0,82,7651,102.21,4.6
05/09/2024 07:00:00 AM,-423.1,10.4,-216.0,11.0,-248.7,13.0,-151.3,14.7,-67.9,15.3,-98.9,14.0,82,7657,102.22,5.3
05/09/2024 07:15:00 AM,-415.8,10.6,-213.2,11.2,-244.7,12.9,-148.9,14.6,-67.2,15.2,-97.7,14.0,83,7661,102.24,6.2
05/09/2024 07:30:00 AM,-409.1,10.8,-209.8,11.5,-241.0,12.9,-146.3,14.6,-66.4,15.2,-96.6,14.0,84,7669,102.25,7.3
05/09/2024 07:45:00 AM,-401.4,11.1,-206.9,11.7,-237.8,12.9,-144.0,14.5,-65.7,15.2,-95.4,14.0,86,7683,102.25,8.4
05/09/2024 08:00:00 AM,-393.9,11.4,-203.8,12.0,-234.2,12.9,-141.3,14.4,-65.0,15.1,-94.2,14.0,88,7704,102.26,9.6
05/09/2024 08:15:00 AM,-386.5,11.7,-201.4,12.2,-230.8,12.9,-139.4,14.4,-64.3,15.1,-93.2,13.9,91,7729,102.27,11.0
05/09/2024 08:30:00 AM,-379.6,12.1,-198.0,12.5,-227.5,13.0,-137.3,14.3,-63.7,15.0,-92.1,13.9,94,7756,102.28,12.2
05/09/2024 08:45:00 AM,-371.8,12.5,-195.4,12.9,-224.4,13.0,-134.7,14.2,-63.0,15.0,-91.2,13.9,97,7780,102.28,13.4
05/09/2024 09:00:00 AM,-364.4,13.0,-193.2,13.2,-221.5,13.1,-132.8,14.2,-62.3,15.0,-90.1,13.9,100,7805,102.29,14.6
05/09/2024 09:15:00 AM,-358.0,13.4,-191.0,13.6,-218.5,13.3,-130.9,14.1,-61.7,14.9,-89.1,13.9,100,7828,102.29,16.2
05/09/2024 09:30:00 AM,-351.1,14.0,-188.0,14.0,-215.6,13.4,-129.1,14.1,-61.0,14.9,-88.2,13.9,100,7852,102.29,17.6
05/09/2024 09:45:00 AM,-344.0,14.4,-185.6,14.4,-212.5,13.6,-127.4,14.1,-60.5,14.8,-87.2,13.9,100,7870,102.28,18.7
05/09/2024 10:00:00 AM,-338.1,14.9,-182.9,14.8,-209.6,13.8,-125.5,14.1,-59.9,14.8,-86.3,13.9,100,7890,102.27,19.6
05/09/2024 10:15:00 AM,-332.0,15.3,-181.0,15.2,-207.3,14.1,-123.9,14.1,-59.0,14.8,-85.3,13.9,100,7909,102.27,20.4
05/09/2024 10:30:00 AM,-325.3,15.8,-178.6,15.7,-204.9,14.3,-122.1,14.1,-58.2,14.7,-84.5,13.9,100,7920,102.26,21.0
05/09/2024 10:45:00 AM,-319.7,16.2,-176.3,16.0,-202.8,14.6,-120.3,14.1,-57.3,14.7,-83.7,13.9,100,7933,102.25,21.1
05/09/2024 11:00:00 AM,-314.0,16.3,-174.3,16.1,-200.4,14.8,-118.8,14.1,-56.5,14.6,-82.8,13.9,100,7954,102.25,20.9
05/09/2024 11:15:00 AM,-309.2,16.4,-172.6,16.4,-198.0,15.0,-117.1,14.2,-55.7,14.6,-82.1,13.8,100,8016,102.21,21.9
05/09/2024 11:20:00 AM,-306.1,16.6,-171.0,16.7,-196.5,15.2,-116.0,14.2,-55.3,14.6,-81.6,13.8,100,8015,102.13,25.4
05/09/2024 11:25:00 AM,-303.9,16.9,-170.6,17.0,-195.7,15.2,-115.7,14.2,-54.8,14.6,-81.2,13.8,100,8013,102.23,25.2
05/09/2024 11:30:00 AM,-301.7,17.1,-169.7,17.2,-195.0,15.3,-115.0,14.2,-54.7,14.6,-81.0,13.8,100,8017,102.23,24.3
05/09/2024 11:35:00 AM,-299.7,17.4,-169.2,17.4,-194.6,15.4,-114.7,14.2,-54.4,14.6,-80.7,13.8,100,8019,102.23,23.8
05/09/2024 11:40:00 AM,-297.4,17.7,-168.5,17.6,-193.9,15.5,-114.2,14.2,-54.1,14.5,-80.5,13.8,100,8020,102.22,23.6
05/09/2024 11:45:00 AM,-295.0,17.9,-167.7,17.8,-193.1,15.6,-113.7,14.3,-53.9,14.5,-80.3,13.8,100,8020,102.22,23.2
05/09/2024 11:50:00 AM,-293.9,18.1,-167.0,17.9,-192.4,15.6,-113.3,14.3,-53.5,14.5,-80.1,13.8,100,8025,102.22,22.8
05/09/2024 11:55:00 AM,-291.6,18.3,-166.2,18.0,-191.6,15.7,-112.8,14.3,-53.4,14.5,-79.8,13.8,100,8027,102.22,22.4
05/09/2024 12:00:00 PM,-289.9,18.4,-165.8,18.0,-190.9,15.8,-112.3,14.3,-53.2,14.5,-79.5,13.8,100,8025,102.22,22.1
05/09/2024 12:05:00 PM,-288.3,18.4,-164.7,18.0,-190.3,15.9,-111.7,14.3,-52.9,14.5,-79.2,13.8,100,8024,102.22,21.8
05/09/2024 12:10:00 PM,-286.7,18.4,-164.7,18.0,-189.2,16.0,-111.3,14.4,-52.8,14.5,-78.9,13.8,100,8026,102.21,21.4
05/09/2024 12:15:00 PM,-285.2,18.4,-164.0,18.0,-189.0,16.1,-111.0,14.4,-52.6,14.5,-78.7,13.8,100,8035,102.21,21.0
05/09/2024 12:20:00 PM,-283.7,18.4,-163.6,18.2,-188.2,16.2,-110.3,14.4,-52.3,14.5,-78.6,13.8,100,8048,102.21,21.4
05/09/2024 12:25:00 PM,-282.7,18.7,-163.5,18.4,-187.6,16.2,-110.1,14.4,-52.1,14.5,-78.2,13.8,100,8042,102.21,21.7
05/09/2024 12:30:00 PM,-280.3,19.0,-162.6,18.5,-187.1,16.3,-109.6,14.4,-51.8,14.4,-78.0,13.8,100,8040,102.2,21.7
05/09/2024 12:35:00 PM,-278.6,19.2,-161.9,18.5,-186.6,16.4,-109.1,14.5,-51.6,14.4,-77.7,13.8,100,8048,102.2,21.5
05/09/2024 12:40:00 PM,-276.6,19.3,-161.1,18.6,-186.1,16.4,-108.7,14.5,-51.5,14.4,-77.5,13.8,100,8046,102.2,21.4
05/09/2024 12:45:00 PM,-275.5,19.4,-160.4,18.6,-185.4,16.5,-108.2,14.5,-51.2,14.4,-77.3,13.8,100,8045,102.2,21.1
05/09/2024 12:50:00 PM,-274.4,19.5,-160.0,18.6,-184.6,16.6,-107.8,14.6,-50.9,14.4,-77.1,13.8,100,8046,102.19,20.8
05/09/2024 12:55:00 PM,-273.5,19.4,-159.5,18.6,-183.9,16.6,-107.5,14.6,-50.7,14.4,-76.7,13.8,100,8047,102.19,20.4
05/09/2024 01:00:00 PM,-271.8,19.4,-159.1,18.6,-183.7,16.7,-107.1,14.6,-50.4,14.4,-76.5,13.8,100,8056,102.18,20.2
05/09/2024 01:05:00 PM,-269.9,19.3,-158.5,18.7,-183.2,16.7,-106.6,14.6,-50.3,14.4,-76.2,13.8,100,8064,102.17,20.6
05/09/2024 01:10:00 PM,-268.4,19.4,-158.0,18.8,-182.3,16.8,-106.3,14.7,-50.2,14.4,-76.0,13.8,100,8061,102.17,21.2
05/09/2024 01:15:00 PM,-266.3,19.7,-157.5,18.9,-181.9,16.8,-105.9,14.7,-49.8,14.4,-75.7,13.8,100,8064,102.16,21.1
05/09/2024 01:20:00 PM,-265.5,19.8,-156.9,19.0,-181.4,16.8,-105.5,14.7,-49.7,14.4,-75.6,13.8,100,8074,102.16,21.3
05/09/2024 01:25:00 PM,-265.1,20.0,-156.6,19.2,-180.9,16.9,-105.0,14.7,-49.5,14.4,-75.3,13.8,100,8081,102.15,21.6
05/09/2024 01:30:00 PM,-262.8,20.3,-155.9,19.5,-180.3,16.9,-104.4,14.8,-49.1,14.4,-75.1,13.8,100,8083,102.15,22.1
05/09/2024 01:35:00 PM,-261.2,20.7,-155.6,19.8,-179.8,17.0,-104.1,14.8,-49.1,14.4,-74.9,13.7,100,8086,102.15,22.3
05/09/2024 01:40:00 PM,-259.8,21.0,-154.9,20.1,-178.9,17.0,-103.7,14.8,-48.9,14.4,-74.7,13.7,100,8094,102.14,22.8
05/09/2024 01:45:00 PM,-257.6,21.4,-154.7,20.5,-178.6,17.1,-103.3,14.8,-48.6,14.4,-74.5,13.7,100,8101,102.13,23.2
